,make,type,year,engine,mileage,price_in_azn
12665,LADA, (VAZ) 2107,2009,1.5,58263.0,6300.0
12666,Kia, Cerato,2016,2.0,119000.0,20700.0
12667,DAF, 105 XF,2010,4.6,1000000.0,88400.0
12668,BMW, X5,2012,3.0,230000.0,39000.0
12669,MAZ, 643008,2008,14.0,395641.0,14500.0
12670,Opel, Astra,2007,1.3,15700.0,11900.0
12671,LADA, (VAZ) 2106,1983,1.6,52536.0,3500.0
12672,Kia, Sportage,2023,1.6,0.0,65800.0
12673,Jetour, X70 PLUS,2022,1.5,0.0,44700.0
12674,Vespa, VXL 150,2022,0.2,0.0,4599.0
12675,Lexus, RX 300,2021,2.0,32000.0,93160.0
12676,Hyundai, Santa Fe,2008,2.0,108000.0,24500.0
12677,Opel, Astra,2006,1.3,243000.0,11300.0
12678,BMW, M3,2014,3.0,42000.0,118150.0
12679,Porsche, Cayenne GTS,2013,4.8,164000.0,56950.0
12680,Mitsubishi, L200,2007,2.5,280000.0,16800.0
12681,Land, Rover RR Evoque,2019,2.0,65000.0,69360.0
12682,Toyota, Prius,2008,1.5,150000.0,12000.0
12683,Hyundai, Elantra,2017,2.0,89810.0,24300.0
12684,Skoda, Rapid,2021,1.6,45000.0,28000.0
12685,KamAz, 53212,1996,11.0,250000.0,22000.0
12686,LADA, (VAZ) Priora,2015,1.6,108000.0,13300.0
12687,LADA, (VAZ) 2107,1991,1.6,349808.0,2500.0
12688,Volvo, FH 460,2012,13.0,930000.0,69000.0
12689,Volkswagen, Jetta,2015,2.0,165762.0,17800.0
12690,Ford, Fiesta,2013,1.6,204203.0,13000.0
12691,Toyota, Camry,2005,3.0,196000.0,11500.0
12692,BMW, X3,2011,3.0,36000.0,49810.0
12693,Nissan, Tiida,2006,1.6,252525.0,8900.0
12694,Hyundai, Sonata,2015,2.0,176000.0,23800.0
12695,Mercedes, E 290,1997,2.9,425864.0,10000.0
12696,Chevrolet, Cruze,2012,1.4,19500.0,13600.0
12697,Fiat, Albea,2008,1.4,300000.0,4300.0
12698,Chevrolet, Malibu,2017,1.5,176000.0,19900.0
12699,Mercedes, E 240,2000,2.6,247409.0,15500.0
12700,Mercedes, Vito 115,2010,2.2,512190.0,29500.0
12701,Hyundai, Santa Fe,2006,2.2,350000.0,19500.0
12702,Hyundai, i30,2010,1.4,187200.0,15300.0
12703,Mazda, CX-5,2015,2.5,149500.0,31200.0
12704,Hyundai, Santa Fe,2010,2.0,254000.0,24900.0
12705,HOWO, Sinotruk,2012,9.5,195000.0,65000.0
12706,Tofas, Sahin,2005,1.6,33900.0,7000.0
12707,Audi, A6,2017,2.0,130000.0,50660.0
12708,Toyota, Corolla,2008,1.4,190000.0,17800.0
12709,Chery, Tiggo 7 Pro,2022,1.5,0.0,44900.0
12710,Haval, H6,2022,2.0,0.0,54900.0
12711,Chevrolet, Nexia,2023,1.5,0.0,21100.0
12712,Hyundai, Elantra,2022,2.0,11600.0,44000.0
12713,Mercedes, E 230,1996,2.3,500000.0,9000.0
12714,BMW, 328,2012,2.0,143000.0,30940.0
12715,BMW, 740,2023,3.0,0.0,263500.0
12716,BMW, 530e,2018,2.0,102000.0,67150.0
12717,Mercedes, E 220,2008,2.2,283245.0,22000.0
12718,Chevrolet, Cruze,2015,1.4,132000.0,16900.0
12719,Volkswagen, ID.6,2022,0.0,0.0,63750.0
12720,LADA, (VAZ) 2107,2008,1.6,170000.0,5500.0
12721,LADA, (VAZ) 2106,1993,1.6,46852.0,3500.0
12722,Hyundai, i30,2008,1.4,182430.0,14000.0
12723,BMW, 520,2017,2.0,111000.0,68850.0
12724,Lexus, RX 330,2006,3.3,186900.0,18500.0
12725,BMW, 325,2000,2.5,285000.0,11300.0
12726,LADA, (VAZ) Niva,2013,1.7,134000.0,10800.0
12727,Mercedes, E 230,1996,2.3,350000.0,8800.0
12728,Mercedes, E 320,2001,3.2,94851.0,22500.0
12729,Toyota, Land Cruiser,2019,4.0,71000.0,110500.0
12730,GAZ, 330200,1999,2.5,330000.0,7500.0
12731,Mercedes, E 350,2013,3.5,233000.0,38000.0
12732,Lexus, RX 350,2006,3.5,134000.0,15000.0
12733,GAZ, 2705-757,1999,2.4,91657.0,5700.0
